,137,1143,1191,1199,1200
0,41.825,36.58,34.309,36.488,39.336002
1,40.955997,35.169,32.931,38.647,41.18
2,40.865,35.493,33.589,39.098,39.012
3,40.944,31.226,31.753,38.946003,36.35
4,39.634,29.43,31.785,35.574,38.031002
5,38.873997,32.395,30.699001,36.885002,39.474
6,40.807,37.519,21.317,40.442,37.994
7,40.568,35.763,33.218,39.366,37.536
8,40.84,33.418,32.33,40.784,38.987
9,41.079,36.527,30.762001,36.536,37.399998
10,41.034,34.578,33.715,34.506,41.181
11,40.688,32.564,35.635998,34.912,40.715
12,40.385,34.678,34.321,39.526,39.778
13,39.1,31.645,30.847,38.456,39.272
14,38.947998,32.33,32.34,40.362,40.648
15,40.625,36.9,32.821,38.619,41.183
16,39.992,37.391,31.253,36.142002,40.716
17,41.124,35.943,30.234001,36.215,38.686
18,39.195,28.247,29.469,40.353,39.485
19,31.546999,29.011,30.945002,40.163002,38.108
20,39.774998,30.172,33.481,35.673,41.709
21,34.601,37.474,29.906,34.937,37.235
22,38.876,38.241,35.853,37.767002,41.13
23,40.697998,36.368,35.821,37.883,39.575
24,34.974,37.867,32.018,33.241,36.872997
25,40.366,37.947998,35.611,38.872,39.052998
26,35.34,36.907,35.905003,36.895,38.669003
27,39.44,37.282,33.896,37.162,41.066
28,40.61,37.57,35.722,40.799004,40.952
29,40.957,37.352,35.171,40.06,38.854
30,31.464998,37.346,35.955,38.56,36.272
31,34.422,35.724,35.231003,40.468002,37.923
32,41.661,36.439,35.327003,40.485,41.23
33,38.567,34.535,36.006,40.834,40.291
34,39.997997,34.45,34.583,39.863003,41.24
35,38.603,37.21,35.978,38.839,40.245003
36,35.510998,35.015,35.269,36.991,37.294
37,34.783,32.079998,36.339,36.874,38.82
38,36.978,34.641,32.215,36.549004,37.041
39,36.028,35.239002,33.52,35.054,37.088
40,35.566998,34.932,34.635002,36.313,34.938
41,38.078003,36.418003,34.202003,36.192,32.724
42,35.811,34.357002,35.972,35.669,32.195
43,37.294,35.3,35.989002,30.929,36.687
44,35.965,34.436,33.665,34.647,36.833
45,37.428,33.552002,33.316,33.738,35.06
46,37.541,33.005,34.536,32.867,31.331
47,38.079002,32.093002,32.856,32.326,36.391
48,36.9,34.979,31.812,15.4939995,33.413
49,35.659,34.068,32.764,16.535,29.491001
50,39.077,34.063,32.186,22.925999,27.191
51,36.746,33.163002,31.911,31.155,26.437998
52,38.054,32.807,30.72,23.681,24.766
53,36.232,32.173,32.348,16.028,28.320002
54,37.048,32.334,31.67,26.598999,32.413
55,38.04,30.924,30.603,24.216,33.201
56,38.035,31.198002,31.524,33.399002,35.758
57,38.095,31.925999,30.404,33.544,34.83
58,37.315,32.717,32.169,31.501999,34.145
59,37.462997,31.435001,32.456,34.723,34.446
60,39.093998,34.001,30.635,34.201,34.028
61,37.899002,32.512,30.583,35.928,36.04
62,39.271,33.756,29.088,35.707,36.416
63,40.659,34.843002,31.005001,34.552,33.126
64,38.783997,33.601,31.578001,35.716,34.841
65,38.385998,32.044,30.698,34.050003,35.982002
66,38.73,34.044,30.566,33.189003,35.409
67,40.948997,32.562,31.409,35.149002,36.299
68,39.243,32.942,31.914001,36.744,35.078
69,39.041,32.606003,29.978,35.462997,36.554
70,38.006,32.189,31.817,35.294,37.614002
71,40.093,31.309,29.366001,36.516,37.469
72,39.604,34.142002,31.366001,34.873,37.494
73,39.171,33.43,30.825,35.591,37.255
74,38.781998,33.823997,30.390001,35.37,37.31
75,39.876,33.097,30.699001,34.365,37.135
